,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
300,301,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
301,302,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
302,303,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
303,304,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
304,305,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
305,306,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
306,307,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
307,308,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
308,309,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
309,310,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
310,311,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
311,312,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
312,313,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
313,314,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
314,315,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
315,316,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
316,317,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
317,318,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
318,319,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
319,320,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
320,321,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
321,322,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
322,323,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
323,324,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
324,325,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
325,326,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
326,327,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
327,328,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
